# frequency_cm^-1 signal
1.926450204448632348e+02 -1.173783586906128606e+00
1.941619103696259288e+02 -1.193096521476833205e+00
1.956788002943886511e+02 -1.212080437182094350e+00
1.971956902191513450e+02 -1.229959737368938377e+00
1.987125801439140389e+02 -1.245966397991395525e+00
2.002294700686767612e+02 -1.259373225401023477e+00
2.017463599934394551e+02 -1.269523878008456563e+00
2.032632499182021775e+02 -1.275858516582773827e+00
2.047801398429648714e+02 -1.277934283943533034e+00
2.062970297677275653e+02 -1.275440157816212006e+00
2.078139196924902876e+02 -1.268206045169764096e+00
2.093308096172529815e+02 -1.256206270945090298e+00
2.108476995420156754e+02 -1.239557842812722743e+00
2.123645894667783978e+02 -1.218514037172319320e+00
2.138814793915410917e+02 -1.193453947727918019e+00
2.153983693163037856e+02 -1.164868671077990747e+00
2.169152592410665079e+02 -1.133344784141033568e+00
2.184321491658292018e+02 -1.099545710646122831e+00
2.199490390905918673e+02 -1.064191495774163387e+00
2.214659290153545612e+02 -1.028037427429675743e+00
2.229828189401172835e+02 -9.918518762847807757e-01
2.244997088648799775e+02 -9.563936881729938611e-01
2.260165987896426714e+02 -9.223894603790474545e-01
2.275334887144053937e+02 -8.905110708484367255e-01
2.290503786391680876e+02 -8.613539030767796145e-01
2.305672685639308099e+02 -8.354163101549780812e-01
2.320841584886935038e+02 -8.130809746676121996e-01
2.336010484134561977e+02 -7.945989285994421447e-01
2.351179383382189201e+02 -7.800770788860228455e-01
2.366348282629816140e+02 -7.694701197316538011e-01
2.381517181877443079e+02 -7.625776847183666218e-01
2.396686081125070302e+02 -7.590474869931093105e-01
2.411854980372697241e+02 -7.583850077353602170e-01
2.427023879620324180e+02 -7.599700226004281189e-01
2.442192778867951404e+02 -7.630799121198189594e-01
2.457361678115578343e+02 -7.669193025425247168e-01
2.472530577363205282e+02 -7.706551530989943499e-01
2.487699476610832505e+02 -7.734559747210286718e-01
2.502868375858459444e+02 -7.745334679827036162e-01
2.518037275106086383e+02 -7.731845394589267340e-01
2.533206174353713607e+02 -7.688314288042606970e-01
2.548375073601340546e+02 -7.610575816032109087e-01
2.563543972848967769e+02 -7.496369556682426216e-01
2.578712872096594424e+02 -7.345546612010026566e-01
2.593881771344221647e+02 -7.160172067578434163e-01
2.609050670591848871e+02 -6.944511396567107919e-01
2.624219569839475525e+02 -6.704895056624893268e-01
2.639388469087102749e+02 -6.449462719928565901e-01
2.654557368334729972e+02 -6.187796147193795893e-01
2.669726267582356627e+02 -5.930457156033628330e-01
2.684895166829983282e+02 -5.688453912524499279e-01
2.700064066077610505e+02 -5.472664379281685365e-01
2.715232965325237728e+02 -5.293249728288564881e-01
2.730401864572864383e+02 -5.159092511317457941e-01
2.745570763820491607e+02 -5.077294140431644065e-01
2.760739663068118830e+02 -5.052763680883954889e-01
2.775908562315746053e+02 -5.087925176557872575e-01
2.791077461563372708e+02 -5.182563955709068582e-01
2.806246360810999931e+02 -5.333823996738279449e-01
2.821415260058627155e+02 -5.536358994351934237e-01
2.836584159306253810e+02 -5.782629876056133433e-01
2.851753058553881033e+02 -6.063331851673495754e-01
2.866921957801508256e+02 -6.367925314954248073e-01
2.882090857049134911e+02 -6.685237693464396447e-01
2.897259756296762134e+02 -7.004098206457503029e-01
2.912428655544389358e+02 -7.313964851940050194e-01
2.927597554792016012e+02 -7.605503047079933410e-01
2.942766454039643236e+02 -7.871078243342107816e-01
2.957935353287270459e+02 -8.105130382584793125e-01
2.973104252534897114e+02 -8.304405912213880248e-01
2.988273151782524337e+02 -8.468032722005522928e-01
3.003442051030151561e+02 -8.597434147783040714e-01
3.018610950277778215e+02 -8.696089357720662161e-01
3.033779849525405439e+02 -8.769158202988176498e-01
3.048948748773032662e+02 -8.822998197724948310e-01
3.064117648020659317e+02 -8.864608987926673178e-01
3.079286547268286540e+02 -8.901044894014461528e-01
3.094455446515913764e+02 -8.938838457264756121e-01
3.109624345763540418e+02 -8.983477179210300756e-01
3.124793245011167642e+02 -9.038971831448204819e-01
3.139962144258794865e+02 -9.107548072112543469e-01
3.155131043506421520e+02 -9.189484086983878974e-01
3.170299942754048175e+02 -9.283106211553955323e-01
3.185468842001675398e+02 -9.384942756526568619e-01
3.200637741249302621e+02 -9.490024406937380697e-01
3.215806640496929276e+02 -9.592308468640646790e-01
3.230975539744556499e+02 -9.685194725767651835e-01
3.246144438992183723e+02 -9.762093473175328384e-01
3.261313338239810378e+02 -9.817001961643622154e-01
3.276482237487437601e+02 -9.845044397746650633e-01
3.291651136735064824e+02 -9.842932896837629508e-01
3.306820035982691479e+02 -9.809312270753751672e-01
3.321988935230318702e+02 -9.744959874215445295e-01
3.337157834477945926e+02 -9.652822350193814849e-01
3.352326733725572581e+02 -9.537883242232501058e-01
3.367495632973200372e+02 -9.406868195387824150e-01
3.382664532220827027e+02 -9.267806902998856344e-01
3.397833431468453682e+02 -9.129482140700356796e-01
3.413002330716080905e+02 -9.000805309269213073e-01
3.428171229963707560e+02 -8.890164176518678962e-01
3.443340129211335352e+02 -8.804791457747114247e-01
3.458509028458962007e+02 -8.750202236659584409e-01
3.473677927706589230e+02 -8.729743999916469432e-01
3.488846826954215885e+02 -8.744295501241001745e-01
3.504015726201843108e+02 -8.792140298918370567e-01
3.519184625449469763e+02 -8.869028352987113895e-01
3.534353524697097555e+02 -8.968425419229553164e-01
3.549522423944724210e+02 -9.081936129936304392e-01
3.564691323192351433e+02 -9.199873627437734624e-01
3.579860222439978088e+02 -9.311937388544513361e-01
3.595029121687605311e+02 -9.407952298454621554e-01
3.610198020935231966e+02 -9.478616768058001352e-01
3.625366920182859758e+02 -9.516206168657683762e-01
3.640535819430486413e+02 -9.515180241287409801e-01
3.655704718678113636e+02 -9.472649296343910175e-01
3.670873617925740291e+02 -9.388663545859473603e-01
3.686042517173367514e+02 -9.266302145741389662e-01
3.701211416420994169e+02 -9.111552602926650257e-01
3.716380315668621961e+02 -8.932986112741386764e-01
3.731549214916248616e+02 -8.741249054060362678e-01
3.746718114163875839e+02 -8.548404211675946218e-01
3.761887013411502494e+02 -8.367166331722365458e-01
3.777055912659129717e+02 -8.210084523165590564e-01
3.792224811906756372e+02 -8.088728195488890105e-01
3.807393711154384164e+02 -8.012933338189287547e-01
3.822562610402010819e+02 -7.990161965647821773e-01
3.837731509649638042e+02 -8.025019735898591966e-01
3.852900408897264697e+02 -8.118965651363876379e-01
3.868069308144891920e+02 -8.270234155787590247e-01
3.883238207392518575e+02 -8.473974833991801958e-01
3.898407106640145230e+02 -8.722599395691723601e-01
3.913576005887773022e+02 -9.006310813562867779e-01
3.928744905135399677e+02 -9.313776473904854525e-01
3.943913804383026900e+02 -9.632896942775347471e-01
3.959082703630653555e+02 -9.951615209502867598e-01
3.974251602878280778e+02 -1.025870854511747199e+00
3.989420502125908001e+02 -1.054450661319553006e+00
4.004589401373535225e+02 -1.080148509162714987e+00
4.019758300621161879e+02 -1.102469339795490555e+00
4.034927199868789103e+02 -1.121198747461432221e+00
4.050096099116415758e+02 -1.136405307399686260e+00
4.065264998364043549e+02 -1.148422051770096930e+00
4.080433897611670204e+02 -1.157808733991171346e+00
4.095602796859297428e+02 -1.165297941627131850e+00
4.110771696106924082e+02 -1.171729307113159591e+00
4.125940595354551306e+02 -1.177976936032978150e+00
4.141109494602177961e+02 -1.184875659115571134e+00
4.156278393849805752e+02 -1.193151779784750399e+00
4.171447293097432407e+02 -1.203363628432438492e+00
4.186616192345059630e+02 -1.215856473841129715e+00
4.201785091592686285e+02 -1.230735237546894512e+00
4.216953990840313509e+02 -1.247857090468038166e+00
4.232122890087940164e+02 -1.266844484721437514e+00
4.247291789335567955e+02 -1.287117601414524914e+00
4.262460688583194610e+02 -1.307943695379754745e+00
4.277629587830821833e+02 -1.328499503400566217e+00
4.292798487078448488e+02 -1.347941853143112878e+00
4.307967386326075712e+02 -1.365480944536357599e+00
4.323136285573702366e+02 -1.380450525651333082e+00
4.338305184821330158e+02 -1.392369372288865259e+00
4.353474084068956813e+02 -1.400989093012238618e+00
4.368642983316584036e+02 -1.406324275938591439e+00
4.383811882564210691e+02 -1.408662298156727832e+00
4.398980781811837346e+02 -1.408551637577857285e+00
4.414149681059464569e+02 -1.406769148242270839e+00
