# frequency_cm^-1 signal
7.736138616289784409e+01 4.716632728028589128e+00
7.887827608766053800e+01 6.421266961261630435e+00
8.039516601242323190e+01 7.601929479756206476e+00
8.191205593718594002e+01 8.159999524023056949e+00
8.342894586194864814e+01 8.046723344631342201e+00
8.494583578671134205e+01 7.267464955066226473e+00
8.646272571147405017e+01 5.881583830638145827e+00
8.797961563623674408e+01 3.997923313181822813e+00
8.949650556099945220e+01 1.766250170316701062e+00
9.101339548576216032e+01 -6.346833329351225794e-01
9.253028541052485423e+01 -3.011505377458302490e+00
9.404717533528756235e+01 -5.171866598009460247e+00
9.556406526005027047e+01 -6.940096165156874441e+00
9.708095518481296438e+01 -8.171601715299368962e+00
9.859784510957567250e+01 -8.764837619665042823e+00
1.001147350343383806e+02 -8.669856552869990907e+00
1.016316249591010887e+02 -7.892730551419376184e+00
1.031485148838637826e+02 -6.495458142645812671e+00
1.046654048086264908e+02 -4.591337194617583606e+00
1.061822947333891989e+02 -2.336149654487080340e+00
1.076991846581518928e+02 8.415532112626086803e-02
1.092160745829146009e+02 2.468306809762105924e+00
1.107329645076772806e+02 4.615903761678199047e+00
1.122498544324399887e+02 6.343655522618201203e+00
1.137667443572026968e+02 7.500363075338717600e+00
1.152836342819654050e+02 7.979427349816450743e+00
1.168005242067280989e+02 7.727863629777870891e+00
1.183174141314908070e+02 6.751076771057444859e+00
1.198343040562535151e+02 5.112988748843140918e+00
1.213511939810162090e+02 2.931481073791667225e+00
1.228680839057789171e+02 3.694901294743918041e-01
1.243849738305416253e+02 -2.377556694798659276e+00
1.259018637553043192e+02 -5.096980267565257350e+00
1.274187536800670273e+02 -7.575562455174103427e+00
1.289356436048297212e+02 -9.616407863469911277e+00
1.304525335295924435e+02 -1.105461320194158148e+01
1.319694234543551374e+02 -1.177049325911846012e+01
1.334863133791178313e+02 -1.169930312468694211e+01
1.350032033038805253e+02 -1.083667215663053796e+01
1.365200932286432192e+02 -9.239304339081300554e+00
1.380369831534059415e+02 -7.020875062555822055e+00
1.395538730781686354e+02 -4.343435991530911977e+00
1.410707630029313577e+02 -1.404997036945647260e+00
1.425876529276940516e+02 1.575741087196830037e+00
1.441045428524567455e+02 4.376303064569952994e+00
1.456214327772194679e+02 6.787671587478855351e+00
1.471383227019821618e+02 8.630478392901153484e+00
1.486552126267448557e+02 9.768878211197133510e+00
1.501721025515075780e+02 1.012101409269410190e+01
1.516889924762702719e+02 9.665253319778162933e+00
1.532058824010329658e+02 8.441708931771628954e+00
1.547227723257956882e+02 6.548935897816505758e+00
1.562396622505583821e+02 4.136073243466658056e+00
1.577565521753210760e+02 1.391063415116403190e+00
1.592734421000837699e+02 -1.474110873668654786e+00
1.607903320248464638e+02 -4.239998719055662946e+00
1.623072219496091861e+02 -6.696749173464217719e+00
1.638241118743718800e+02 -8.660328339196462721e+00
1.653410017991345740e+02 -9.986611456637282558e+00
1.668578917238972963e+02 -1.058225046237928879e+01
1.683747816486600186e+02 -1.041147888313488323e+01
1.698916715734226841e+02 -9.498343044221863707e+00
1.714085614981853780e+02 -7.924214949713923595e+00
1.729254514229481003e+02 -5.820818307091553123e+00
1.744423413477107943e+02 -3.359354813040399179e+00
1.759592312724734882e+02 -7.366245372963305948e-01
1.774761211972362105e+02 1.840732364555285328e+00
1.789930111219989044e+02 4.172603706527359790e+00
1.805099010467615983e+02 6.081075165926209891e+00
1.820267909715243206e+02 7.424160294868669574e+00
1.835436808962870145e+02 8.106514457483996239e+00
1.850605708210497085e+02 8.086307430384474415e+00
1.865774607458124308e+02 7.377744977068180887e+00
1.880943506705751247e+02 6.049084034687052025e+00
1.896112405953378186e+02 4.216350336383644759e+00
1.911281305201005409e+02 2.033311786707117097e+00
1.926450204448632348e+02 -3.214420815312795110e-01
1.941619103696259288e+02 -2.659238498509999715e+00
1.956788002943886511e+02 -4.796665011672172518e+00
1.971956902191513450e+02 -6.570268533952565271e+00
1.987125801439140389e+02 -7.849425187595297615e+00
2.002294700686767612e+02 -8.546357162896503823e+00
2.017463599934394551e+02 -8.622515865392896828e+00
2.032632499182021775e+02 -8.090855367905417594e+00
2.047801398429648714e+02 -7.013861235159680518e+00
2.062970297677275653e+02 -5.497548938682129460e+00
2.078139196924902876e+02 -3.681974616716728654e+00
2.093308096172529815e+02 -1.729082005248934628e+00
2.108476995420156754e+02 1.910798224138902102e-01
2.123645894667783978e+02 1.914609596206303888e+00
2.138814793915410917e+02 3.297292618399507269e+00
2.153983693163037856e+02 4.226311257265940036e+00
2.169152592410665079e+02 4.629176315674321529e+00
2.184321491658292018e+02 4.479169047014099014e+00
2.199490390905918673e+02 3.796881285161513464e+00
2.214659290153545612e+02 2.647770793575917825e+00
2.229828189401172835e+02 1.135982862828434081e+00
2.244997088648799775e+02 -6.050004852702638436e-01
2.260165987896426714e+02 -2.424061379509663272e+00
2.275334887144053937e+02 -4.165484736951225564e+00
2.290503786391680876e+02 -5.682218756446353325e+00
2.305672685639308099e+02 -6.848232477918496208e+00
2.320841584886935038e+02 -7.568931666347303633e+00
2.336010484134561977e+02 -7.788767556880913823e+00
2.351179383382189201e+02 -7.495418485922757945e+00
2.366348282629816140e+02 -6.720221081202805813e+00
2.381517181877443079e+02 -5.534850184062395151e+00
2.396686081125070302e+02 -4.044567598074993775e+00
2.411854980372697241e+02 -2.378651855086552303e+00
2.427023879620324180e+02 -6.788597000515560476e-01
2.442192778867951404e+02 9.130652735099121786e-01
2.457361678115578343e+02 2.267744373365207178e+00
2.472530577363205282e+02 3.279300609851655057e+00
2.487699476610832505e+02 3.874314963873299433e+00
2.502868375858459444e+02 4.017829473960964570e+00
2.518037275106086383e+02 3.715884086314829027e+00
2.533206174353713607e+02 3.014378208630493106e+00
2.548375073601340546e+02 1.994370218894722990e+00
2.563543972848967769e+02 7.642410739335254721e-01
2.578712872096594424e+02 -5.505753784313142107e-01
2.593881771344221647e+02 -1.819376759585046077e+00
2.609050670591848871e+02 -2.918435921672283051e+00
2.624219569839475525e+02 -3.742603791654309120e+00
2.639388469087102749e+02 -4.215221968286029686e+00
2.654557368334729972e+02 -4.295438991887771785e+00
2.669726267582356627e+02 -3.982247990653529079e+00
2.684895166829983282e+02 -3.314848991689980373e+00
2.700064066077610505e+02 -2.369262369463140949e+00
2.715232965325237728e+02 -1.251453037836026905e+00
2.730401864572864383e+02 -8.753929814884153782e-02
2.745570763820491607e+02 9.880717258775177925e-01
2.760739663068118830e+02 1.845582198401729102e+00
2.775908562315746053e+02 2.372585563927399388e+00
2.791077461563372708e+02 2.485571835020457865e+00
2.806246360810999931e+02 2.139085933785050742e+00
2.821415260058627155e+02 1.331654223982650098e+00
2.836584159306253810e+02 1.078603310417391020e-01
2.851753058553881033e+02 -1.443723657227317991e+00
2.866921957801508256e+02 -3.196687397997346025e+00
2.882090857049134911e+02 -4.996591530589086005e+00
2.897259756296762134e+02 -6.673683087251770729e+00
2.912428655544389358e+02 -8.057491247269009449e+00
2.927597554792016012e+02 -8.992086565008580834e+00
2.942766454039643236e+02 -9.350695619871713049e+00
2.957935353287270459e+02 -9.048381510688439988e+00
2.973104252534897114e+02 -8.051629475086446774e+00
2.988273151782524337e+02 -6.383907597863586858e+00
3.003442051030151561e+02 -4.126587802403934191e+00
3.018610950277778215e+02 -1.414987394171253632e+00
3.033779849525405439e+02 1.570303842127753979e+00
3.048948748773032662e+02 4.616244850617021278e+00
3.064117648020659317e+02 7.493382729113252871e+00
3.079286547268286540e+02 9.973884688577726365e+00
3.094455446515913764e+02 1.185013572060826981e+01
3.109624345763540418e+02 1.295238723103775769e+01
3.124793245011167642e+02 1.316397699268476629e+01
3.139962144258794865e+02 1.243279869243558977e+01
3.155131043506421520e+02 1.077796978835176844e+01
3.170299942754048175e+02 8.291009586556032929e+00
3.185468842001675398e+02 5.131267631448735322e+00
3.200637741249302621e+02 1.515802050250060651e+00
3.215806640496929276e+02 -2.295638433357453323e+00
3.230975539744556499e+02 -6.019463594104774273e+00
3.246144438992183723e+02 -9.369522068718136865e+00
3.261313338239810378e+02 -1.207918413119794643e+01
3.276482237487437601e+02 -1.392249526946295646e+01
3.291651136735064824e+02 -1.473270326546638032e+01
3.306820035982691479e+02 -1.441663275767369257e+01
3.321988935230318702e+02 -1.296367832917400342e+01
3.337157834477945926e+02 -1.044858848840875076e+01
3.352326733725572581e+02 -7.027688186310363072e+00
3.367495632973200372e+02 -2.928699966958432377e+00
3.382664532220827027e+02 1.565166903294910927e+00
3.397833431468453682e+02 6.135724730105849289e+00
3.413002330716080905e+02 1.045339517127018425e+01
3.428171229963707560e+02 1.420208909552593290e+01
3.443340129211335352e+02 1.710345884979856379e+01
3.458509028458962007e+02 1.893862092592091528e+01
3.473677927706589230e+02 1.956561552875956878e+01
3.488846826954215885e+02 1.893117779929990974e+01
3.504015726201843108e+02 1.707582101656586104e+01
3.519184625449469763e+02 1.413174289453076682e+01
3.534353524697097555e+02 1.031362276842573777e+01
3.549522423944724210e+02 5.902936500752939963e+00
3.564691323192351433e+02 1.226933031579914735e+00
3.579860222439978088e+02 -3.366149894005978638e+00
3.595029121687605311e+02 -7.533738606296724427e+00
3.610198020935231966e+02 -1.096538346248295426e+01
3.625366920182859758e+02 -1.340695558206124893e+01
3.640535819430486413e+02 -1.468066454012747180e+01
3.655704718678113636e+02 -1.469928857621145113e+01
3.670873617925740291e+02 -1.347344663151313071e+01
3.686042517173367514e+02 -1.111127649547435858e+01
3.701211416420994169e+02 -7.810474275138330924e+00
3.716380315668621961e+02 -3.843251150094115332e+00
3.731549214916248616e+02 4.646734892490877455e-01
3.746718114163875839e+02 4.759442860068863190e+00
3.761887013411502494e+02 8.686838798772518189e+00
3.777055912659129717e+02 1.192029621823866670e+01
3.792224811906756372e+02 1.418695038140483788e+01
3.807393711154384164e+02 1.528964634178866788e+01
3.822562610402010819e+02 1.512313976653536862e+01
3.837731509649638042e+02 1.368316097294398404e+01
3.852900408897264697e+02 1.106756571044935811e+01
3.868069308144891920e+02 7.469414373175421673e+00
3.883238207392518575e+02 3.162457629384072266e+00
3.898407106640145230e+02 -1.519889291023059474e+00
3.913576005887773022e+02 -6.210477320689384406e+00
3.928744905135399677e+02 -1.053725124417395875e+01
3.943913804383026900e+02 -1.415271985517130382e+01
3.959082703630653555e+02 -1.676174378358138384e+01
3.974251602878280778e+02 -1.814542915739415463e+01
3.989420502125908001e+02 -1.817920414750383884e+01
4.004589401373535225e+02 -1.684359890281120897e+01
4.019758300621161879e+02 -1.422681364516154723e+01
4.034927199868789103e+02 -1.051880112815887891e+01
4.050096099116415758e+02 -5.997258158197797506e+00
4.065264998364043549e+02 -1.006563754078334094e+00
4.080433897611670204e+02 4.068732302179337346e+00
4.095602796859297428e+02 8.833822729014384478e+00
4.110771696106924082e+02 1.291462425536982117e+01
4.125940595354551306e+02 1.598739019824261121e+01
4.141109494602177961e+02 1.780460514687976570e+01
4.156278393849805752e+02 1.821508739662589704e+01
4.171447293097432407e+02 1.717666552590001672e+01
4.186616192345059630e+02 1.476036885878764693e+01
4.201785091592686285e+02 1.114573320042289062e+01
4.216953990840313509e+02 6.607521541022820522e+00
4.232122890087940164e+02 1.494839469348715699e+00
4.247291789335567955e+02 -3.795767082190693920e+00
4.262460688583194610e+02 -8.851157017339078337e+00
4.277629587830821833e+02 -1.327398048367437866e+01
4.292798487078448488e+02 -1.671406505672193177e+01
4.307967386326075712e+02 -1.889632011961160174e+01
4.323136285573702366e+02 -1.964293408433116284e+01
4.338305184821330158e+02 -1.888807286705176836e+01
4.353474084068956813e+02 -1.668386634908972965e+01
4.368642983316584036e+02 -1.319714777991270616e+01
4.383811882564210691e+02 -8.697136352475030918e+00
4.398980781811837346e+02 -3.534968561361439665e+00
4.414149681059464569e+02 1.883367112695963685e+00
4.429318580307091224e+02 7.128606851855837867e+00
4.444487479554719016e+02 1.178184418957768109e+01
4.459656378802345671e+02 1.546758461847718991e+01
4.474825278049972894e+02 1.788361569028625908e+01
4.489994177297599549e+02 1.882531957153606328e+01
4.505163076545226772e+02 1.820247703783624615e+01
4.520331975792853427e+02 1.604719046175829078e+01
4.535500875040481219e+02 1.251224383292199782e+01
4.550669774288107874e+02 7.859966484782736629e+00
4.565838673535735097e+02 2.442415304587892688e+00
4.581007572783361752e+02 -3.325621236378104584e+00
4.596176472030988975e+02 -8.998719544964552952e+00
4.611345371278616199e+02 -1.413552602011681536e+01
4.626514270526243422e+02 -1.833335864092387624e+01
4.641683169773870077e+02 -2.125998485410533689e+01
4.656852069021497300e+02 -2.268006180639617853e+01
4.672020968269123955e+02 -2.247413038940731767e+01
4.687189867516751747e+02 -2.064862837019016695e+01
4.702358766764378402e+02 -1.733608579138730832e+01
4.717527666012005625e+02 -1.278543352205873340e+01
4.732696565259632280e+02 -7.343133198103560133e+00
