# time_ps  C_avg  count
  0.00000000  2.194128221503e-01 351996
  0.00500000 -1.117803084518e+00 350214
  0.01000000  7.721629525929e-02 348432
  0.01500000  5.221467998337e-01 346650
  0.02000000  2.180352603469e-01 344872
  0.02500000  6.235532241438e-01 343100
  0.03000000 -7.670029874473e-01 341332
  0.03500000  2.927820688840e-01 339564
  0.04000000 -1.404978863009e-01 337796
  0.04500000 -1.963068201496e-01 336030
  0.05000000  1.566427301994e-01 334264
  0.05500000 -2.650345868879e-01 332498
  0.06000000  3.951848464855e-01 330732
  0.06500000 -3.640799395277e-01 328966
  0.07000000 -6.915021625010e-02 327200
  0.07500000  3.861304486309e-01 325434
  0.08000000  9.191023215667e-03 323668
  0.08500000  1.711650708141e-01 321902
  0.09000000 -1.755092329891e-01 320136
  0.09500000  1.290762771574e-01 318370
  0.10000000  1.873240356416e-01 316604
  0.10500000 -2.382746366760e-01 314838
  0.11000000  2.561554561279e-01 313072
  0.11500000  1.184290020403e-01 311306
  0.12000000 -3.251488423692e-03 309540
  0.12500000 -1.333486502809e-01 307774
  0.13000000 -2.912584434329e-01 306008
  0.13500000  2.535450126241e-01 304242
  0.14000000 -9.200256661873e-02 302476
  0.14500000 -9.495399239860e-02 300712
  0.15000000  7.513775426513e-02 298948
  0.15500000 -3.168199270701e-02 297184
  0.16000000  6.706269189991e-02 295420
  0.16500000 -2.640755992267e-01 293656
  0.17000000  7.752138390957e-02 291892
  0.17500000  1.544419929983e-01 290128
  0.18000000 -9.428742182965e-02 288364
  0.18500000  5.803419382479e-02 286600
  0.19000000  2.737160219703e-02 284836
  0.19500000  1.868242690517e-01 283072
  0.20000000 -2.939206811465e-02 281308
  0.20500000 -1.613372076423e-01 279546
  0.21000000  1.435799212438e-01 277784
  0.21500000  7.825718694490e-02 276022
  0.22000000 -3.954645961428e-02 274260
  0.22500000 -2.252541610801e-02 272498
  0.23000000  4.533553602786e-03 270736
  0.23500000  9.276788045391e-02 268974
  0.24000000 -1.458249236463e-01 267212
  0.24500000 -1.030140932433e-01 265450
  0.25000000  7.061187227730e-02 263688
  0.25500000 -1.054354271144e-01 261926
  0.26000000 -3.035259835090e-02 260164
  0.26500000 -1.538735562505e-01 258402
  0.27000000  7.240466520369e-02 256640
  0.27500000  1.361952038080e-01 254878
  0.28000000 -8.570030297184e-02 253116
  0.28500000  1.742204434804e-01 251354
  0.29000000  1.706729653249e-02 249592
  0.29500000  2.459853858697e-02 247830
  0.30000000 -1.407281417993e-01 246068
  0.30500000 -1.200119480153e-01 244306
  0.31000000  1.861388866499e-01 242546
  0.31500000 -1.287874480313e-01 240786
  0.32000000 -5.287776142048e-02 239026
  0.32500000 -4.633298986964e-03 237266
  0.33000000  1.037567009679e-01 235506
  0.33500000  8.584522643318e-02 233746
  0.34000000 -1.587151212434e-01 231986
