z_center_A,OH-_counts_per_frame,OH-_density,H2O_counts_per_frame,H2O_density
8.85,0.1079446028,0.04754998004,1.704064797,0.7951371887
8.95,0.1195940203,0.05268158974,1.690065497,0.7886049464
9.05,0.1107944603,0.04880535237,1.690215489,0.7886749347
9.15,0.1022448878,0.04503923538,1.742662867,0.8131475138
9.25,0.09799510024,0.04316718892,1.760311984,0.8213828049
9.35,0.1024448778,0.04512733168,1.769711514,0.825768739
9.45,0.1042447878,0.04592019842,1.773911304,0.8277284117
9.55,0.1114444278,0.04909166536,1.789410529,0.834960537
9.65,0.1149942503,0.05065537475,1.83060847,0.8541839928
9.75,0.1226938653,0.05404708245,1.854057297,0.8651254986
9.85,0.1177441128,0.05186669893,1.934253287,0.9025459149
9.95,0.1210939453,0.05334231202,1.950352482,0.9100579935
10.05,0.1274436278,0.05613936967,2.030848458,0.9476183865
10.15,0.1196440178,0.05270361382,2.050547473,0.9568101845
10.25,0.1197440128,0.05274766197,2.050647468,0.9568568434
10.35,0.1248937553,0.0550161418,2.027348633,0.9459853259
10.45,0.1193440328,0.05257146936,2.024498775,0.944655548
10.55,0.1167441628,0.05142621741,1.97560122,0.921839359
10.65,0.1130943453,0.04981845987,1.980650967,0.9241956321
10.75,0.1197440128,0.05274766197,1.997900105,0.9322442878
10.85,0.1138943053,0.05017084508,1.980300985,0.9240323261
10.95,0.1078446078,0.04750593189,1.961701915,0.9153537756
11.05,0.1087445628,0.04790236526,1.908054597,0.8903212901
11.15,0.1112444378,0.04900356906,1.838958052,0.8580800087
11.25,0.1119944003,0.04933393019,1.875856207,0.8752971329
11.35,0.1171941403,0.0516244341,1.909904505,0.8911844793
11.45,0.1089445528,0.04799046156,1.857557122,0.8667585591
11.55,0.1158442078,0.05102978405,1.829358532,0.8536007569
11.65,0.1049447528,0.04622853548,1.915104245,0.8936107407
11.75,0.1203939803,0.05303397496,1.90040498,0.8867518863
11.85,0.1263936803,0.05567686408,1.90320484,0.8880583348
11.95,0.1113444328,0.04904761721,1.906554672,0.889621407
12.05,0.1136443178,0.0500607247,1.893305335,0.8834391063
12.15,0.1161941903,0.05118395258,1.866906655,0.8711211638
12.25,0.1187440628,0.05230718045,1.850257487,0.8633524614
12.35,0.1252937353,0.05519233441,1.880055997,0.8772568056
12.45,0.1105444728,0.04869523199,1.893855307,0.8836957301
12.55,0.1192940353,0.05254944529,1.869506525,0.8723342945
12.65,0.1091945403,0.04810058194,1.887905605,0.8809195272
12.75,0.1077946103,0.04748390781,1.888555572,0.8812228098
12.85,0.1080945953,0.04761605227,1.886255687,0.8801496558
12.95,0.1189940503,0.05241730083,1.88920554,0.8815260925
13.05,0.1151442428,0.05072144698,1.877556122,0.8760903338
13.15,0.1102944853,0.04858511161,1.872256387,0.8736174135
13.25,0.1088945553,0.04796843748,1.868656567,0.8719376941
13.35,0.1096945153,0.0483208227,1.882655867,0.8784699363
13.45,0.1120943953,0.04937797835,1.906554672,0.889621407
13.55,0.1125443728,0.04957619503,1.90280486,0.8878716993
13.65,0.1175941203,0.0518006267,1.938903055,0.9047155525
13.75,0.1180940953,0.05202086746,1.979701015,0.9237523728
13.85,0.1315434228,0.0579453439,2.030548473,0.9474784099
13.95,0.1305434728,0.05750486238,1.999300035,0.932897512
14.05,0.1328933553,0.05853999395,1.981300935,0.9244989148
14.15,0.1087445628,0.04790236526,1.950102495,0.9099413463
14.25,0.1116944153,0.04920178574,1.931153442,0.9010994899
14.35,0.1175441228,0.05177860263,1.950852457,0.9102912879
