0.000000000000000000e+00 -5.769985175194504379e+00
1.516889924762702568e+00 -5.508963009816093326e+00
3.033779849525405137e+00 -4.748452323679829057e+00
4.550669774288108371e+00 -3.554208837761956730e+00
6.067559699050810273e+00 -2.029613216312811996e+00
7.584449623813513064e+00 -3.069000024228145107e-01
9.101339548576216743e+00 1.464074225670406681e+00
1.061822947333891776e+01 3.128581169390989736e+00
1.213511939810162055e+01 4.540218719270364467e+00
1.365200932286432511e+01 5.573446203617378636e+00
1.516889924762702613e+01 6.134399913023046658e+00
1.668578917238972892e+01 6.169073310239477692e+00
1.820267909715243349e+01 5.668164474090922056e+00
1.971956902191513450e+01 4.668170143822203855e+00
2.123645894667783551e+01 3.248618345109601346e+00
2.275334887144054008e+01 1.525654099870351832e+00
2.427023879620324109e+01 -3.575016158992675996e-01
2.578712872096594566e+01 -2.242436126744006941e+00
2.730401864572865023e+01 -3.968789883728945256e+00
2.882090857049135124e+01 -5.387761114474833413e+00
3.033779849525405226e+01 -6.374742502253546661e+00
3.185468842001675682e+01 -6.840028667389024264e+00
3.337157834477945784e+01 -6.736688229874906675e+00
3.488846826954215885e+01 -6.064925167600278222e+00
3.640535819430486697e+01 -4.872542224870464622e+00
3.792224811906756798e+01 -3.251440663258979402e+00
3.943913804383026900e+01 -1.330419223194532652e+00
4.095602796859297001e+01 7.351563559000470205e-01
4.247291789335567103e+01 2.775979106379714345e+00
4.398980781811837204e+01 4.622692528485941921e+00
4.550669774288108016e+01 6.119907644149543913e+00
4.702358766764378117e+01 7.139187219979642229e+00
4.854047759240648219e+01 7.589916830543180559e+00
5.005736751716919031e+01 7.427149819205905779e+00
5.157425744193189132e+01 6.655756779723943417e+00
5.309114736669459944e+01 5.330510256764298127e+00
5.460803729145730046e+01 3.552067544796249088e+00
5.612492721621999436e+01 1.459151603011446641e+00
5.764181714098270248e+01 -7.824554789429296608e-01
5.915870706574540350e+01 -2.993226271360292401e+00
6.067559699050810451e+01 -4.994433821576766519e+00
6.219248691527081263e+01 -6.622746317641206915e+00
6.370937684003351364e+01 -7.743675853400482367e+00
6.522626676479622176e+01 -8.262772815932212467e+00
6.674315668955891567e+01 -8.133634953257841360e+00
6.826004661432160958e+01 -7.362054925999546029e+00
6.977693653908431770e+01 -6.005941656019998298e+00
7.129382646384702582e+01 -4.170993875327977385e+00
7.281071638860973394e+01 -2.002451067845536947e+00
7.432760631337242785e+01 3.264308289153139975e-01
7.584449623813513597e+01 2.628260470888513556e+00
7.736138616289784409e+01 4.716632728028698374e+00
7.887827608766053800e+01 6.421266961261804518e+00
8.039516601242323190e+01 7.601929479756426744e+00
8.191205593718594002e+01 8.159999524023307416e+00
8.342894586194864814e+01 8.046723344631601549e+00
8.494583578671134205e+01 7.267464955066477827e+00
8.646272571147405017e+01 5.881583830638366095e+00
8.797961563623674408e+01 3.997923313181996008e+00
8.949650556099945220e+01 1.766250170316814527e+00
9.101339548576216032e+01 -6.346833329350736186e-01
9.253028541052485423e+01 -3.011505377458326915e+00
9.404717533528756235e+01 -5.171866598009559723e+00
9.556406526005027047e+01 -6.940096165157031649e+00
9.708095518481296438e+01 -8.171601715299576796e+00
9.859784510957567250e+01 -8.764837619665279078e+00
1.001147350343383806e+02 -8.669856552870244926e+00
1.016316249591010887e+02 -7.892730551419617768e+00
1.031485148838637826e+02 -6.495458142646021393e+00
1.046654048086264908e+02 -4.591337194617739925e+00
1.061822947333891989e+02 -2.336149654487176264e+00
1.076991846581518928e+02 8.415532112623062833e-02
1.092160745829146009e+02 2.468306809762149001e+00
1.107329645076772806e+02 4.615903761678309181e+00
1.122498544324399887e+02 6.343655522618371734e+00
1.137667443572026968e+02 7.500363075338934316e+00
1.152836342819654050e+02 7.979427349816696768e+00
1.168005242067280989e+02 7.727863629778126686e+00
1.183174141314908070e+02 6.751076771057690884e+00
1.198343040562535151e+02 5.112988748843347864e+00
1.213511939810162090e+02 2.931481073791828873e+00
1.228680839057789171e+02 3.694901294744950548e-01
1.243849738305416253e+02 -2.377556694798633963e+00
1.259018637553043192e+02 -5.096980267565308864e+00
1.274187536800670273e+02 -7.575562455174225995e+00
1.289356436048297212e+02 -9.616407863470092465e+00
1.304525335295924435e+02 -1.105461320194181241e+01
1.319694234543551374e+02 -1.177049325911871946e+01
1.334863133791178313e+02 -1.169930312468721212e+01
1.350032033038805253e+02 -1.083667215663079375e+01
1.365200932286432192e+02 -9.239304339081524375e+00
1.380369831534059415e+02 -7.020875062555993473e+00
1.395538730781686354e+02 -4.343435991531025664e+00
1.410707630029313577e+02 -1.404997036945676347e+00
1.425876529276940516e+02 1.575741087196876222e+00
1.441045428524567455e+02 4.376303064570073786e+00
1.456214327772194679e+02 6.787671587479045421e+00
1.471383227019821618e+02 8.630478392901387963e+00
1.486552126267448557e+02 9.768878211197396411e+00
1.501721025515075780e+02 1.012101409269438079e+01
1.516889924762702719e+02 9.665253319778432939e+00
1.532058824010329658e+02 8.441708931771858104e+00
1.547227723257956882e+02 6.548935897816688723e+00
1.562396622505583821e+02 4.136073243466772631e+00
1.577565521753210760e+02 1.391063415116450042e+00
1.592734421000837699e+02 -1.474110873668691202e+00
1.607903320248464638e+02 -4.239998719055774856e+00
1.623072219496091861e+02 -6.696749173464394467e+00
1.638241118743718800e+02 -8.660328339196693648e+00
1.653410017991345740e+02 -9.986611456637547235e+00
1.668578917238972963e+02 -1.058225046237956057e+01
1.683747816486600186e+02 -1.041147888313515324e+01
1.698916715734226841e+02 -9.498343044222103515e+00
1.714085614981853780e+02 -7.924214949714105671e+00
1.729254514229481003e+02 -5.820818307091675692e+00
1.744423413477107943e+02 -3.359354813040456467e+00
1.759592312724734882e+02 -7.366245372963017291e-01
1.774761211972362105e+02 1.840732364555391909e+00
1.789930111219989044e+02 4.172603706527527656e+00
1.805099010467615983e+02 6.081075165926430159e+00
1.820267909715243206e+02 7.424160294868931587e+00
1.835436808962870145e+02 8.106514457484262692e+00
1.850605708210497085e+02 8.086307430384733763e+00
1.865774607458124308e+02 7.377744977068419807e+00
1.880943506705751247e+02 6.049084034687239431e+00
1.896112405953378186e+02 4.216350336383767328e+00
1.911281305201005409e+02 2.033311786707165947e+00
1.926450204448632348e+02 -3.214420815313106528e-01
1.941619103696259288e+02 -2.659238498510097415e+00
1.956788002943886511e+02 -4.796665011672336831e+00
1.971956902191513450e+02 -6.570268533952784651e+00
1.987125801439140389e+02 -7.849425187595560516e+00
2.002294700686767612e+02 -8.546357162896780935e+00
2.017463599934394551e+02 -8.622515865393161505e+00
2.032632499182021775e+02 -8.090855367905653850e+00
2.047801398429648714e+02 -7.013861235159871477e+00
2.062970297677275653e+02 -5.497548938682257358e+00
2.078139196924902876e+02 -3.681974616716783721e+00
2.093308096172529815e+02 -1.729082005248915976e+00
2.108476995420156754e+02 1.910798224139780288e-01
2.123645894667783978e+02 1.914609596206460873e+00
2.138814793915410917e+02 3.297292618399715103e+00
2.153983693163037856e+02 4.226311257266178956e+00
2.169152592410665079e+02 4.629176315674578213e+00
2.184321491658292018e+02 4.479169047014355698e+00
2.199490390905918673e+02 3.796881285161737729e+00
2.214659290153545612e+02 2.647770793576088799e+00
2.229828189401172835e+02 1.135982862828543327e+00
2.244997088648799775e+02 -6.050004852702257629e-01
2.260165987896426714e+02 -2.424061379509703240e+00
2.275334887144053937e+02 -4.165484736951333922e+00
2.290503786391680876e+02 -5.682218756446522967e+00
2.305672685639308099e+02 -6.848232477918722694e+00
2.320841584886935038e+02 -7.568931666347559428e+00
2.336010484134561977e+02 -7.788767556881182941e+00
2.351179383382189201e+02 -7.495418485923012852e+00
2.366348282629816140e+02 -6.720221081203034075e+00
2.381517181877443079e+02 -5.534850184062579004e+00
2.396686081125070302e+02 -4.044567598075112791e+00
2.411854980372697241e+02 -2.378651855086602485e+00
2.427023879620324180e+02 -6.788597000515295132e-01
2.442192778867951404e+02 9.130652735100093231e-01
2.457361678115578343e+02 2.267744373365369714e+00
2.472530577363205282e+02 3.279300609851871329e+00
2.487699476610832505e+02 3.874314963873549011e+00
2.502868375858459444e+02 4.017829473961224807e+00
2.518037275106086383e+02 3.715884086315087487e+00
2.533206174353713607e+02 3.014378208630711597e+00
2.548375073601340546e+02 1.994370218894894853e+00
2.563543972848967769e+02 7.642410739336301662e-01
2.578712872096594424e+02 -5.505753784312779064e-01
2.593881771344221647e+02 -1.819376759585081160e+00
2.609050670591848871e+02 -2.918435921672394073e+00
2.624219569839475525e+02 -3.742603791654484979e+00
2.639388469087102749e+02 -4.215221968286251730e+00
2.654557368334729972e+02 -4.295438991888027580e+00
2.669726267582356627e+02 -3.982247990653806191e+00
2.684895166829983282e+02 -3.314848991690239721e+00
2.700064066077610505e+02 -2.369262369463363438e+00
2.715232965325237728e+02 -1.251453037836208093e+00
